Name,Manufacturer,Category,Sorted Category,Tags,Sorted Tags,Parent,Model,Series / Collection,Plugin Notes,Workflow Notes,Recording Notes,Form Factor,Format,Version,,,,,,,,,
Rotary Mod,Eventide,Modulation,Modulation,Modeled,Modeled,,Leslie 122,,,Leslie 122 ALT (Tone),,Plugin,"AU, VST3",1.3.5,,,,,,,,,
Sheen Machine,Eventide,EQ,EQ,Restoration,Restoration,,,,"Corrective high-frequency EQ; 
STRUCTURAL SPLIT separates TRANSIENT + TONAL audio content",,,Plugin,"AU, VST3",1.3.4,,,,,,,,,
ShimmerVerb,Eventide,"Pitch, Reverb & Room","Pitch, Reverb & Room",,,,,,Reverb w/ dual pitch shifters,,,Plugin,"AU, VST3",1.3.4,,,,,,,,,
SP2016 Reverb,Eventide,Reverb & Room,Reverb & Room,Modeled,Modeled,,Eventide SP2016,,"Stereo Room, Room and Hi-Density Plate Eventide Reverb",,,Plugin,"AU, VST3",1.8.5,,,,,,,,,
SplitEQ,Eventide,EQ,EQ,Mastering,Mastering,,,,"mixing/mastering graphical EQ ; STRUCTURAL SPLIT separates TRANSIENT + TONAL audio content. 6-band EQ w/ 6 types (Low/High Shelf, Peak, Notch, Bandpass, Tilt Shelf) w/ LPF/HPF",,,Plugin,"AU, VST3",1.3.5,,,,,,,,,
Spring,Eventide,Reverb & Room,Reverb & Room,,,,,,"configurable spring reverb based on ""artifical"" guitar amps w/ tube amp style tremolo and chorus",,,Plugin,"AU, VST3",1.5.4,,,,,,,,,
Temperance Pro,Eventide,Reverb & Room,Reverb & Room,,,,,,"Modal Reverb w/ 29 spaces, chromatic control, advanced shaping tools",,,Plugin,"AU, VST3",1.0.8,,,,,,,,,
Tverb,Eventide,Reverb & Room,Reverb & Room,Modeled,Modeled,,Hansa Tonstudios Meistersaal,,Tony Visconti,,,Plugin,"AU, VST3",2.11.5,,,,,,,,,
UltraChannel,Eventide,"Delay, Dynamics, EQ, Pitch, Preamps","Delay, Dynamics, EQ, Pitch, Preamps",Mastering,Mastering,,,,"Mixing / Mastering Channel Strip
[ Gate, Dual Compressor, De-Esser O-Pressor (OctoPressor); 5 Band Parametric EQ; Micro Pitch Shift; Stereo Delays]",,,Plugin,"AU, VST3",3.11.4,,,,,,,,,
UltraReverb,Eventide,Reverb & Room,Reverb & Room,Modeled,Modeled,,"Eventide Eclipse
Eventide Orville",,"9 reverbs (2 halls, 2 chambers, 2 rooms, 2 plates and ambience) w/ EQ, compression, delay. lo-fi bit-reducer for ""vintage digital"" sound",,,Plugin,"AU, VST3",3.11.4,,,,,,,,,
